ID_LTE,radio,lat,lon
0,LTE,40.058316,-82.914335
1,LTE,40.007468,-82.977737
2,LTE,39.937437,-82.894173
3,LTE,39.998428,-82.99911
4,LTE,39.952215,-83.010076
5,LTE,39.989615,-83.044932
6,LTE,39.960322,-82.99574
7,LTE,39.96733,-82.986972
8,LTE,39.960933,-82.995888
9,LTE,39.98609,-82.879119
10,LTE,39.968279,-83.306111
11,LTE,39.934965,-83.064627
12,LTE,40.155611,-83.015132
13,LTE,40.191481,-83.08545
14,LTE,40.158463,-82.881775
15,LTE,40.144705,-82.989949
16,LTE,39.998075,-83.013734
17,LTE,40.009478,-82.958841
18,LTE,39.945277,-82.872742
19,LTE,40.056521,-82.914265
20,LTE,40.033047,-83.131647
21,LTE,40.077328,-82.932631
22,LTE,40.089827,-82.936482
23,LTE,40.073338,-82.971581
24,LTE,40.161167,-83.089124
25,LTE,40.149634,-83.1303
26,LTE,40.146059,-82.926643
27,LTE,39.956896,-82.901299
28,LTE,39.963455200195,-83.305892944336
29,LTE,39.957724,-82.935404
30,LTE,39.956508,-82.860375
31,LTE,40.010092,-82.951717
32,LTE,40.058924,-83.017234
33,LTE,40.033292,-83.167862
34,LTE,40.087123,-82.927718
35,LTE,39.930351,-83.142261
36,LTE,40.133125,-83.089706
37,LTE,39.996836,-83.194013
38,LTE,40.066951,-83.045401
39,LTE,40.077798,-82.963638
40,LTE,40.160153,-82.955598
41,LTE,40.130212,-82.897829
42,LTE,40.139408,-82.885666
43,LTE,40.136344,-83.01609
44,LTE,40.049086,-83.01119
45,LTE,40.096468,-82.890767
46,LTE,40.020899,-82.940093
47,LTE,40.042025,-83.155133
48,LTE,40.052226,-83.064286
49,LTE,39.942709,-83.07841
50,LTE,40.058153,-82.866007
51,LTE,40.139951,-82.984269
52,LTE,40.080397,-83.086186
53,LTE,40.161528,-82.999163
54,LTE,40.07409,-82.960183
55,LTE,40.110209,-83.152564
56,LTE,40.154076,-83.042488
57,LTE,40.077888,-83.099425
58,LTE,40.157709,-82.957941
59,LTE,39.965927,-82.866989
60,LTE,40.031653,-82.934326
61,LTE,40.000324,-82.942215
62,LTE,39.967913,-82.921098
63,LTE,39.931964,-83.11142
64,LTE,40.04456,-82.922147
65,LTE,40.076505,-83.017595
66,LTE,40.100666,-83.080177
67,LTE,40.141548,-83.084961
68,LTE,40.11198,-83.123559
69,LTE,40.014601,-83.155691
70,LTE,40.109894,-82.914172
71,LTE,40.197258,-82.911072
72,LTE,40.073529,-82.999656
73,LTE,39.946582,-82.913513
74,LTE,39.949996,-82.883133
75,LTE,40.07829,-82.922743
76,LTE,40.05347,-83.095711
77,LTE,39.940489,-83.16565
78,LTE,40.052623,-82.997232
79,LTE,40.128956,-82.999192
80,LTE,40.091354,-83.070979
81,LTE,40.137664,-83.010062
82,LTE,40.11064,-82.928364
83,LTE,40.155762,-83.088318
84,LTE,40.055923,-82.953072
85,LTE,40.165328979492,-82.957077026367
86,LTE,39.982152,-83.048997
87,LTE,39.958201,-82.914087
88,LTE,39.965214,-83.28646
89,LTE,39.989745,-83.179754
90,LTE,39.941828,-83.259767
91,LTE,39.959003,-83.340247
92,LTE,40.1199,-83.185583
93,LTE,39.976952,-83.242722
94,LTE,40.139984,-83.222398
95,LTE,39.95246887207,-83.233108520508
96,LTE,40.110912,-83.184509
97,LTE,40.090247,-83.244506
98,LTE,40.233993530273,-83.352584838867
99,LTE,39.997852,-83.162293
100,LTE,40.118493,-83.136955
101,LTE,40.111537,-83.187038
102,LTE,40.227127,-83.154602
103,LTE,39.96172,-82.98225
104,LTE,39.954623,-82.979806
105,LTE,40.017079,-82.997557
106,LTE,40.05933,-82.968864
107,LTE,39.966505,-82.966981
108,LTE,39.976399,-82.984921
109,LTE,40.025727,-82.906913
110,LTE,40.047422,-82.920391
111,LTE,39.952881,-82.861221
112,LTE,39.953842,-82.993799
113,LTE,39.94113,-83.114511
114,LTE,39.982893,-83.111308
115,LTE,39.945002,-83.013124
116,LTE,39.955087,-83.017502
117,LTE,39.962334,-83.152891
118,LTE,39.980125,-83.158073
119,LTE,39.949722,-82.965739
120,LTE,39.978561,-82.96669
121,LTE,40.053305,-82.898993
122,LTE,39.956115,-82.87449
123,LTE,39.93988,-82.987404
124,LTE,39.956863,-83.04538
125,LTE,39.938676,-82.970213
126,LTE,39.953873,-83.088669
127,LTE,39.9646,-83.136291
128,LTE,39.940109,-82.857977
129,LTE,40.059975,-82.955774
130,LTE,39.933929,-82.974771
131,LTE,40.06443,-82.973213
132,LTE,40.077579,-83.025196
133,LTE,39.97631,-82.906603
134,LTE,40.063353,-82.947974
135,LTE,40.029864,-82.95299
136,LTE,40.021907,-82.897699
137,LTE,39.957992,-82.900215
138,LTE,40.036165,-82.963354
139,LTE,39.974304,-82.898112
140,LTE,39.941935,-82.89563
141,LTE,40.001711,-83.148553
142,LTE,39.938039,-82.894315
143,LTE,40.053172,-82.9743
144,LTE,39.993324,-82.916565
145,LTE,40.004726,-83.015208
146,LTE,39.94315,-83.075867
147,LTE,40.018413,-83.013602
148,LTE,40.058503,-82.953057
149,LTE,39.947989,-83.054388
150,LTE,39.946143,-83.069915
151,LTE,40.056416,-82.934048
152,LTE,40.081902,-82.957249
153,LTE,40.046968,-82.95845
154,LTE,39.969622,-83.005961
155,LTE,40.032476,-83.174586
156,LTE,40.056353,-82.913097
157,LTE,40.040566,-82.904366
158,LTE,40.059919,-82.930854
159,LTE,39.95255,-82.951503
160,LTE,40.125109,-82.972237
161,LTE,40.001678,-82.926407
162,LTE,39.949254,-82.909248
163,LTE,40.230724,-82.928815
164,LTE,40.107478,-82.985716
165,LTE,39.983511,-83.281994
166,LTE,39.944458,-82.937851
167,LTE,40.109557,-82.977243
168,LTE,40.139553,-82.991621
169,LTE,40.030767,-82.948967
170,LTE,39.989593,-82.883637
171,LTE,40.029239,-82.955759
172,LTE,39.941426,-82.993765
173,LTE,40.192795,-82.941056
174,LTE,40.031591,-82.960284
175,LTE,40.04886,-83.110212
176,LTE,39.96208190918,-83.153457641602
177,LTE,40.025273,-82.894213
178,LTE,39.978561401367,-83.18229675293
179,LTE,39.960813,-82.915439
180,LTE,40.127047,-83.18988
181,LTE,40.135126,-83.201032
182,LTE,40.086326,-82.944701
183,LTE,40.069713,-83.08028
184,LTE,39.981025,-83.238077
185,LTE,39.99792,-82.986381
186,LTE,40.096674,-82.961038
187,LTE,40.124039,-83.192377
188,LTE,39.952295,-82.853771
189,LTE,40.092766,-82.966943
190,LTE,40.077118,-83.184792
191,LTE,40.048943,-83.02141
192,LTE,39.958605,-83.332073
193,LTE,39.992762,-83.00658
194,LTE,39.999942,-83.013366
195,LTE,40.005751,-82.871667
196,LTE,40.023799,-82.942356
197,LTE,39.989568,-83.003936
