Migration ID,Migration Technique,Workload,Available Network Bandwidth (mbps),Page Dirty Rate (4KB pages per second),VM_SIZE (MB),Page transfer rate (MB/s),Total Migration Time (ms),Downtime (ms),Total Transferred Data (KB)
1463735632,auto-converge,mplayer,884,5058,631.46484375,150,6410,277,691971
1463735786,auto-converge,dacapo,922,15969,670.71484375,150,6946,271,782073
1463735855,auto-converge,dacapo,837,4073,332.81640625,150,3911,246,399937
1463735920,auto-converge,dacapo,832,4794,670.26953125,150,7708,283,783326
1463736070,auto-converge,mem,931,29157,1113.95703125,150,29656,830,3373336
1463736161,auto-converge,mem,928,12863,1151.390625,150,18120,312,2052670
1463736316,auto-converge,dacapo,922,16004,671.546875,150,7346,282,827319
1463736471,auto-converge,mem,911,10723,960.12890625,150,13823,311,1538227
1463736547,auto-converge,mem,913,12980,1151.39453125,150,18744,313,2089618
1463736628,auto-converge,parsec,919,2715,2029.17578125,150,33380,242,3745245
1463737040,compress,dacapo,190,11042,343.15625,150,11254,334,261218
1463737113,compress,parsec,268,402,390.6796875,150,8783,215,288232
1463737182,compress,mem,243,8001,786.12109375,150,83923,210,2497405
1463737327,compress,mem,246,1106,770.1328125,150,13316,120,400119
1463737641,compress,mplayer,388,5184,1218.33203125,150,25200,207,1195726
1463737727,compress,parsec,219,156,406.53125,150,16503,188,442528
1463737944,compress,mplayer,426,4482,1553.99609375,150,29061,111,1512610
1463738309,compress,mem,150,12894,1257.5,150,139349,22343,2564616
1463738510,compress,parsec,274,1763,426.49609375,150,11590,186,387867
1463738929,x-postcopy-ram,mplayer,883,5172,468.140625,150,4646,2,501257
1463738995,x-postcopy-ram,parsec,869,2025,381.96875,150,3784,2,401446
1463739059,x-postcopy-ram,mem,903,13271,1253.69921875,150,11714,2,1291753
1463739200,x-postcopy-ram,parsec,925,4752,2033.45703125,150,18480,2,2088852
1463739279,x-postcopy-ram,mplayer,916,5470,776.2890625,150,7302,2,817073
1463739413,x-postcopy-ram,parsec,924,2692,2033.63671875,150,18524,2,2090207
1463739493,x-postcopy-ram,mem,904,9251,782.3828125,150,7331,18,809243
1463739562,x-postcopy-ram,mplayer,921,19801,2024.81640625,150,18540,2,2084742
1463739714,x-postcopy-ram,mem,918,12894,1253.84375,150,11519,2,1291893
1463739788,x-postcopy-ram,parsec,922,177,397.0078125,150,3702,2,416834
1463739852,x-postcopy-ram,mplayer,917,5038,1465.09765625,150,13590,2,1521976
1463740276,original,mplayer,933,22674,1428.9453125,150,22439,695,2556297
1463740364,original,mplayer,895,4682,561.90234375,150,5654,224,617646
1463740436,original,bzip,936,4810,2037.375,150,21412,297,2447581
1463740519,original,parsec,929,3165,2035.265625,150,21890,291,2483382
1463740605,original,parsec,936,5641,2033.9296875,150,21321,274,2436896
1463740688,original,dacapo,859,15882,724.10546875,150,20649,442,2166576
1463740771,original,mplayer,912,5017,742.5390625,150,7185,246,800309
1463740921,original,bzip,924,4765,2038.42578125,150,20662,265,2332392
1463741005,original,dacapo,920,15795,724.84375,150,14484,816,1627396
1463741084,original,mem,932,11662,1260.0625,150,20376,322,2319845
1463741255,original,mplayer,939,19761,2024.609375,150,27528,726,3156533
1463741347,original,mem,930,17534,1155.6328125,150,23501,310,2668168
1463741431,original,parsec,914,356,394.73046875,150,4695,295,524081
1463741496,original,mem,933,12934,1260.07421875,150,20409,257,2325750
1463742137,auto-converge,mem,933,18693,1081.43359375,150,26658,288,3036452
1463742224,auto-converge,mem,897,1135,774.109375,150,7589,262,831408
1463742293,auto-converge,parsec,871,2663,2035.9296875,150,23001,296,2445532
1463742378,auto-converge,mem,920,10064,957.90625,150,13762,287,1545804
1463742453,auto-converge,parsec,861,23681,790.92578125,150,10967,274,1153780
1463742527,auto-converge,mplayer,918,994,1398.09375,150,12922,145,1448068
1463742684,auto-converge,mem,935,1098,774.28125,150,7269,225,830248
1463742752,auto-converge,mplayer,928,141,1402.86328125,150,12774,157,1447038
1463742825,auto-converge,dacapo,932,15923,664.53515625,150,6785,301,771856
1463742893,auto-converge,mem,924,1050,774.33203125,150,7357,235,830328
1463742961,auto-converge,dacapo,836,37442,719.015625,150,19640,955,2006164
